Stage wall time (average ms per step):
embeddings                   20.355
encoder.layers.0             17.700
encoder.layers.1              4.452
encoder.layers.2              4.371
encoder.layers.3              4.372
encoder.layers.4              4.394
encoder.layers.5              4.345
encoder.layers.6              4.331
encoder.layers.7              4.322
encoder.layers.8              4.320
encoder.layers.9              4.329
encoder.layers.10             4.330
encoder.layers.11             4.319
layernorm                     0.181
classifier                    1.717
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                           aten::linear         1.79%       5.988ms        12.89%      43.162ms      59.126us       0.000us         0.00%     188.633ms     258.401us           0 b           0 b      38.99 Gb           0 b           730  
                                            aten::addmm         6.15%      20.579ms         9.19%      30.775ms      42.157us     188.633ms        54.98%     188.633ms     258.401us           0 b           0 b      38.99 Gb      38.28 Gb           730  
void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_...         0.00%       0.000us         0.00%       0.000us       0.000us     126.368ms        36.83%     126.368ms     210.614us           0 b           0 b           0 b           0 b           600  
                     aten::scaled_dot_product_attention         0.41%       1.361ms         2.58%       8.627ms      71.890us       0.000us         0.00%      76.268ms     635.567us          16 b      -1.84 Kb       4.33 Gb           0 b           120  
          aten::_scaled_dot_product_efficient_attention         0.32%       1.060ms         2.17%       7.266ms      60.550us       0.000us         0.00%      76.268ms     635.567us       1.88 Kb           0 b       4.33 Gb           0 b           120  
                     aten::_efficient_attention_forward         0.56%       1.875ms         1.43%       4.798ms      39.982us      76.268ms        22.23%      76.268ms     635.567us       1.88 Kb           0 b       4.33 Gb           0 b           120  
fmha_cutlassF_f32_aligned_64x64_rf_sm80(PyTorchMemEf...         0.00%       0.000us         0.00%       0.000us       0.000us      76.268ms        22.23%      76.268ms     635.567us           0 b           0 b           0 b           0 b           120  
void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_...         0.00%       0.000us         0.00%       0.000us       0.000us      62.132ms        18.11%      62.132ms     517.765us           0 b           0 b           0 b           0 b           120  
