epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,218.945,1.07269,3.88169,0.05075,0.30131,0.20477,0.16158,0.09698,1.20859,3.62852,0.09275,0.0161822,0.00539405,0.0161822,0.00539405,0.0162715,0.00548341,0.0161822,0.00539405
2,428.668,1.17472,2.88699,0.05974,0.41163,0.26029,0.24829,0.15845,1.17727,2.81248,0.08605,0.0161372,0.00537905,0.0161372,0.00537905,0.0161372,0.00537905,0.0161372,0.00537905
3,638.551,1.17453,2.66269,0.05899,0.44018,0.29932,0.29042,0.18634,1.17881,2.56389,0.08578,0.0160743,0.0053581,0.0160743,0.0053581,0.0160743,0.0053581,0.0160743,0.0053581
4,848.443,1.16483,2.5883,0.05913,0.4803,0.32183,0.32584,0.21147,1.14947,2.4242,0.0825,0.0160115,0.00533715,0.0160115,0.00533715,0.0160115,0.00533715,0.0160115,0.00533715
5,1059.94,1.17128,2.53133,0.05807,0.49561,0.33051,0.34037,0.22323,1.12333,2.34633,0.08007,0.0159486,0.0053162,0.0159486,0.0053162,0.0159486,0.0053162,0.0159486,0.0053162
6,1271.54,1.16141,2.5066,0.05887,0.50014,0.36351,0.37126,0.24667,1.10263,2.19088,0.07654,0.0158858,0.00529525,0.0158858,0.00529525,0.0158858,0.00529525,0.0158858,0.00529525
7,1481.98,1.15642,2.47521,0.05805,0.5227,0.38284,0.39796,0.26859,1.09091,2.1042,0.07469,0.0158229,0.0052743,0.0158229,0.0052743,0.0158229,0.0052743,0.0158229,0.0052743
8,1690.55,1.16041,2.44855,0.05762,0.52201,0.3925,0.40386,0.27473,1.0733,2.07803,0.07336,0.0157601,0.00525335,0.0157601,0.00525335,0.0157601,0.00525335,0.0157601,0.00525335
9,1900.01,1.15594,2.44081,0.05799,0.56277,0.39772,0.42156,0.28738,1.06082,2.02153,0.07202,0.0156972,0.00523241,0.0156972,0.00523241,0.0156972,0.00523241,0.0156972,0.00523241
10,2110.36,1.15959,2.41746,0.0573,0.55903,0.4092,0.43306,0.2967,1.05594,1.97994,0.07114,0.0156344,0.00521146,0.0156344,0.00521146,0.0156344,0.00521146,0.0156344,0.00521146
11,2320.25,1.16618,2.42639,0.0576,0.56812,0.41779,0.4422,0.30311,1.04982,1.95579,0.07017,0.0155715,0.00519051,0.0155715,0.00519051,0.0155715,0.00519051,0.0155715,0.00519051
12,2530.73,1.16312,2.40968,0.05768,0.57592,0.42059,0.44797,0.30842,1.04528,1.93037,0.0696,0.0155087,0.00516956,0.0155087,0.00516956,0.0155087,0.00516956,0.0155087,0.00516956
13,2742.42,1.16476,2.40363,0.05711,0.56195,0.42944,0.4531,0.31413,1.03811,1.9174,0.06913,0.0154458,0.00514861,0.0154458,0.00514861,0.0154458,0.00514861,0.0154458,0.00514861
14,2954.1,1.15934,2.389,0.05705,0.56806,0.43439,0.45538,0.3156,1.03549,1.91001,0.06878,0.015383,0.00512766,0.015383,0.00512766,0.015383,0.00512766,0.015383,0.00512766
15,3164.74,1.15141,2.36732,0.05705,0.57538,0.42973,0.45707,0.31655,1.03323,1.9029,0.06857,0.0153201,0.00510671,0.0153201,0.00510671,0.0153201,0.00510671,0.0153201,0.00510671
16,3375.82,1.15499,2.38473,0.058,0.57985,0.43679,0.46109,0.31968,1.0313,1.89186,0.06821,0.0152573,0.00508576,0.0152573,0.00508576,0.0152573,0.00508576,0.0152573,0.00508576
17,3586.23,1.16023,2.37745,0.0569,0.5786,0.44205,0.46362,0.32211,1.02928,1.88433,0.06784,0.0151944,0.00506481,0.0151944,0.00506481,0.0151944,0.00506481,0.0151944,0.00506481
18,3798.55,1.16252,2.38453,0.05788,0.57315,0.44316,0.46472,0.3238,1.02987,1.87937,0.06798,0.0151316,0.00504386,0.0151316,0.00504386,0.0151316,0.00504386,0.0151316,0.00504386
19,4008.1,1.15002,2.36585,0.05738,0.56666,0.44639,0.46538,0.32411,1.02908,1.87501,0.06773,0.0150687,0.00502291,0.0150687,0.00502291,0.0150687,0.00502291,0.0150687,0.00502291
20,4218.44,1.15293,2.35268,0.0572,0.57747,0.4424,0.46631,0.32509,1.02818,1.87108,0.06761,0.0150059,0.00500196,0.0150059,0.00500196,0.0150059,0.00500196,0.0150059,0.00500196
