epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1170.69,2.88783,5.67366,0.03094,0.39808,0.03652,0.01846,0.00844,2.14042,4.18011,0.02546,0.00999865,0.00333288,0.00999865,0.00333288,0.00999865,0.00333288,0.00999865,0.00333288
2,2238.78,2.00069,3.75366,0.01755,0.31675,0.1222,0.08732,0.04893,1.86715,3.12226,0.02081,0.0198007,0.00660022,0.0198007,0.00660022,0.0198007,0.00660022,0.0198007,0.00660022
3,3269.26,1.88067,3.26986,0.01576,0.34793,0.17769,0.14379,0.08673,1.74023,2.7825,0.01882,0.0294047,0.00980156,0.0294047,0.00980156,0.0294047,0.00980156,0.0294047,0.00980156
4,4280,1.79763,3.03839,0.01471,0.34454,0.21319,0.18518,0.1163,1.6579,2.58231,0.01733,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,5290.56,1.73068,2.85417,0.01367,0.39234,0.23225,0.21333,0.13711,1.61,2.46266,0.01647,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,6311.56,1.69042,2.75202,0.0132,0.40909,0.24951,0.23284,0.15101,1.58484,2.39488,0.01607,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,7336.75,1.65745,2.68095,0.01285,0.43002,0.25353,0.2438,0.15939,1.57005,2.35816,0.01581,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,8357.72,1.64618,2.61777,0.01269,0.42722,0.25882,0.25108,0.16461,1.55858,2.33765,0.0156,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,9399.59,1.6243,2.57062,0.01247,0.43827,0.26127,0.25618,0.16916,1.54993,2.32585,0.01546,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,10429.6,1.62497,2.53612,0.01212,0.4491,0.2625,0.26184,0.1734,1.54201,2.31665,0.01534,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,11449.4,1.60968,2.50656,0.01209,0.45371,0.26588,0.26675,0.17694,1.53667,2.30619,0.01526,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,12502,1.60918,2.49495,0.01203,0.46649,0.26675,0.27205,0.18072,1.52883,2.29857,0.01512,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,13532.3,1.59745,2.47042,0.01194,0.46804,0.27046,0.27892,0.18564,1.52242,2.28505,0.01503,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,14563.4,1.58644,2.44732,0.01186,0.48278,0.27444,0.28442,0.19,1.51429,2.27293,0.0149,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,15591.9,1.57654,2.43739,0.01192,0.48749,0.27844,0.28975,0.19368,1.50652,2.25916,0.01478,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,16607.6,1.5822,2.42852,0.01188,0.49047,0.28385,0.29536,0.19819,1.50004,2.23907,0.01469,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,17633.7,1.57759,2.41301,0.01177,0.50037,0.28717,0.30148,0.20257,1.49183,2.21974,0.01455,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,18660.4,1.56944,2.40404,0.01172,0.49811,0.29477,0.30719,0.20652,1.48562,2.1983,0.01444,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,19685.5,1.56377,2.3983,0.01166,0.50157,0.29891,0.3128,0.21084,1.47964,2.17744,0.01433,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,20719.3,1.56333,2.37109,0.0116,0.51515,0.3031,0.31913,0.21565,1.47273,2.15782,0.0142,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,21750.6,1.55466,2.37457,0.01157,0.51852,0.30725,0.32432,0.21959,1.4679,2.13586,0.01412,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,22786.4,1.54715,2.35192,0.01159,0.52061,0.30954,0.32914,0.22299,1.46148,2.11905,0.01399,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,23830.2,1.54524,2.35513,0.01143,0.52788,0.31195,0.3341,0.22677,1.45688,2.09943,0.01392,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,24886,1.54027,2.31631,0.01146,0.51924,0.31637,0.33903,0.23032,1.45318,2.0797,0.01389,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,25932,1.54628,2.32923,0.01144,0.5188,0.32286,0.3429,0.23367,1.44975,2.06154,0.01384,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,26972.2,1.54727,2.33061,0.01142,0.52353,0.32653,0.34745,0.23664,1.44464,2.04739,0.01376,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,28003.1,1.55484,2.33522,0.0114,0.52018,0.32933,0.35037,0.23906,1.4402,2.03322,0.01369,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,29058.6,1.54177,2.30525,0.01142,0.52471,0.33223,0.35437,0.24207,1.4374,2.01838,0.01364,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,30093.1,1.53843,2.32048,0.01139,0.5214,0.33712,0.35779,0.24439,1.4358,2.00165,0.01362,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
